,"""Bestätigte Fälle""","""Tägliche Zahl der Neuinfektionen""",Datum
(nicht zuordnebar),0,0,05_20_2021
Bad Lippspringe,631,0,05_20_2021
Delbrück,1230,7,05_20_2021
Borchen,417,0,05_20_2021
Büren,550,0,05_20_2021
Lichtenau,233,1,05_20_2021
Altenbeken,369,3,05_20_2021
Salzkotten,683,1,05_20_2021
Hövelhof,637,2,05_20_2021
Paderborn,4889,15,05_20_2021
Bad Wünnenberg,492,1,05_20_2021
(gesamter Kreis),10131,30,05_20_2021
Delbrück,1233,3,05_21_2021
Hövelhof,638,1,05_21_2021
Paderborn,4918,29,05_21_2021
Büren,553,3,05_21_2021
Salzkotten,686,3,05_21_2021
Borchen,420,3,05_21_2021
Altenbeken,370,1,05_21_2021
Bad Wünnenberg,496,4,05_21_2021
Bad Lippspringe,634,3,05_21_2021
Lichtenau,233,0,05_21_2021
(gesamter Kreis),10181,50,05_21_2021
(nicht zuordnebar),0,0,05_21_2021
Bad Lippspringe,638,4,05_22_2021
(gesamter Kreis),10214,33,05_22_2021
(nicht zuordnebar),0,0,05_22_2021
Lichtenau,233,0,05_22_2021
Büren,554,1,05_22_2021
Bad Wünnenberg,499,3,05_22_2021
Borchen,421,1,05_22_2021
Paderborn,4934,16,05_22_2021
Salzkotten,690,4,05_22_2021
Hövelhof,639,1,05_22_2021
Altenbeken,370,0,05_22_2021
Delbrück,1236,3,05_22_2021
Borchen,421,0,05_23_2021
(gesamter Kreis),10214,0,05_23_2021
(nicht zuordnebar),0,0,05_23_2021
Paderborn,4934,0,05_23_2021
Bad Lippspringe,638,0,05_23_2021
Salzkotten,690,0,05_23_2021
Delbrück,1236,0,05_23_2021
Lichtenau,233,0,05_23_2021
Büren,554,0,05_23_2021
Bad Wünnenberg,499,0,05_23_2021
Altenbeken,370,0,05_23_2021
Hövelhof,639,0,05_23_2021
Borchen,421,0,05_24_2021
(gesamter Kreis),10259,45,05_24_2021
(nicht zuordnebar),0,0,05_24_2021
Salzkotten,693,3,05_24_2021
Bad Wünnenberg,500,1,05_24_2021
Lichtenau,234,1,05_24_2021
Bad Lippspringe,639,1,05_24_2021
Büren,560,6,05_24_2021
Delbrück,1245,9,05_24_2021
Hövelhof,643,4,05_24_2021
Altenbeken,373,3,05_24_2021
Paderborn,4951,17,05_24_2021
Büren,560,0,05_25_2021
Borchen,421,0,05_25_2021
Delbrück,1245,0,05_25_2021
Bad Wünnenberg,500,0,05_25_2021
Hövelhof,643,0,05_25_2021
Lichtenau,234,0,05_25_2021
Altenbeken,373,0,05_25_2021
(gesamter Kreis),10259,0,05_25_2021
(nicht zuordnebar),0,0,05_25_2021
Salzkotten,693,0,05_25_2021
Paderborn,4951,0,05_25_2021
Bad Lippspringe,639,0,05_25_2021
(nicht zuordnebar),0,0,05_26_2021
Hövelhof,643,0,05_26_2021
Paderborn,4950,-1,05_26_2021
Borchen,421,0,05_26_2021
Lichtenau,234,0,05_26_2021
Bad Wünnenberg,500,0,05_26_2021
Bad Lippspringe,639,0,05_26_2021
Delbrück,1245,0,05_26_2021
Büren,560,0,05_26_2021
Altenbeken,373,0,05_26_2021
Salzkotten,695,2,05_26_2021
(gesamter Kreis),10260,1,05_26_2021
(nicht zuordnebar),0,0,05_27_2021
Paderborn,4960,10,05_27_2021
Büren,561,1,05_27_2021
Delbrück,1248,3,05_27_2021
Bad Wünnenberg,500,0,05_27_2021
Lichtenau,235,1,05_27_2021
Hövelhof,645,2,05_27_2021
Borchen,422,1,05_27_2021
Altenbeken,374,1,05_27_2021
Bad Lippspringe,644,5,05_27_2021
Salzkotten,698,3,05_27_2021
(gesamter Kreis),10287,27,05_27_2021
(nicht zuordnebar),0,0,05_28_2021
Altenbeken,374,0,05_28_2021
Bad Lippspringe,644,0,05_28_2021
Borchen,423,1,05_28_2021
Hövelhof,645,0,05_28_2021
Lichtenau,236,1,05_28_2021
Salzkotten,699,1,05_28_2021
Büren,561,0,05_28_2021
Delbrück,1251,3,05_28_2021
Bad Wünnenberg,502,2,05_28_2021
Paderborn,4971,11,05_28_2021
(gesamter Kreis),10306,19,05_28_2021
(nicht zuordnebar),0,0,05_29_2021
Bad Lippspringe,644,0,05_29_2021
Hövelhof,646,1,05_29_2021
Salzkotten,701,2,05_29_2021
Altenbeken,374,0,05_29_2021
Paderborn,4977,6,05_29_2021
Borchen,425,2,05_29_2021
Lichtenau,236,0,05_29_2021
Bad Wünnenberg,506,4,05_29_2021
Delbrück,1254,3,05_29_2021
Büren,562,1,05_29_2021
(gesamter Kreis),10325,19,05_29_2021
(nicht zuordnebar),0,0,05_30_2021
Altenbeken,374,0,05_30_2021
Borchen,425,0,05_30_2021
Büren,562,0,05_30_2021
Delbrück,1254,0,05_30_2021
Bad Wünnenberg,506,0,05_30_2021
Paderborn,4977,0,05_30_2021
Salzkotten,701,0,05_30_2021
Hövelhof,646,0,05_30_2021
Lichtenau,236,0,05_30_2021
Bad Lippspringe,644,0,05_30_2021
(gesamter Kreis),10325,0,05_30_2021
(nicht zuordnebar),0,0,05_31_2021
Delbrück,1255,1,05_31_2021
Hövelhof,646,0,05_31_2021
Borchen,425,0,05_31_2021
Altenbeken,374,0,05_31_2021
Bad Wünnenberg,506,0,05_31_2021
Salzkotten,702,1,05_31_2021
Lichtenau,237,1,05_31_2021
Paderborn,4991,14,05_31_2021
Büren,564,2,05_31_2021
Bad Lippspringe,645,1,05_31_2021
(gesamter Kreis),10345,20,05_31_2021
(nicht zuordnebar),0,0,06_01_2021
Büren,564,0,06_01_2021
Altenbeken,374,0,06_01_2021
Bad Wünnenberg,506,0,06_01_2021
Borchen,426,1,06_01_2021
Salzkotten,703,1,06_01_2021
Lichtenau,237,0,06_01_2021
Bad Lippspringe,645,0,06_01_2021
Paderborn,5008,17,06_01_2021
Hövelhof,646,0,06_01_2021
Delbrück,1256,1,06_01_2021
(gesamter Kreis),10365,20,06_01_2021
(nicht zuordnebar),0,0,06_02_2021
(gesamter Kreis),10389,24,06_02_2021
Delbrück,1258,2,06_02_2021
Paderborn,5019,11,06_02_2021
Hövelhof,646,0,06_02_2021
Büren,567,3,06_02_2021
Altenbeken,374,0,06_02_2021
Lichtenau,240,3,06_02_2021
Bad Lippspringe,646,1,06_02_2021
Salzkotten,703,0,06_02_2021
Bad Wünnenberg,509,3,06_02_2021
Borchen,427,1,06_02_2021
