Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,1677,46,46
Aying,971,20,20
Baierbrunn,440,1,1
Brunnthal,794,11,11
Feldkirchen,1215,38,38
Garching,2897,34,34
Gräfelfing,2299,45,45
Grasbrunn,908,14,14
Grünwald,1701,18,18
Haar,4093,67,67
Hohenbrunn,1289,18,18
Höhenkirchen-Siegertsbrunn,1725,27,27
Ismaning,2516,37,37
Kirchheim,1714,55,55
Neubiberg,2031,31,31
Neuried,1271,22,22
Oberhaching,1967,38,38
Oberschleißheim,1816,30,30
Ottobrunn,3596,46,46
Planegg,1527,32,32
Pullach,1332,15,15
Putzbrunn,1049,36,36
Sauerlach,1256,19,19
Schäftlarn,826,12,12
Straßlach-Dingharting,430,19,19
Taufkirchen,3079,49,49
Unterföhring,1705,44,44
Unterhaching,3822,79,79
Unterschleißheim,4861,87,87
