Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,1293,37,37
Aying,738,17,17
Baierbrunn,392,14,14
Brunnthal,637,11,11
Feldkirchen,933,22,22
Garching,2300,58,58
Gräfelfing,1807,54,54
Grasbrunn,731,10,10
Grünwald,1433,22,22
Haar,3316,45,45
Hohenbrunn,1019,14,14
Höhenkirchen-Siegertsbrunn,1351,24,24
Ismaning,2001,42,42
Kirchheim,1331,30,30
Neubiberg,1606,44,44
Neuried,1044,19,19
Oberhaching,1618,28,28
Oberschleißheim,1487,30,30
Ottobrunn,2834,45,45
Planegg,1188,19,19
Pullach,1098,19,19
Putzbrunn,776,12,12
Sauerlach,1006,15,15
Schäftlarn,719,10,10
Straßlach-Dingharting,330,5,5
Taufkirchen,2381,48,48
Unterföhring,1306,36,36
Unterhaching,3044,84,84
Unterschleißheim,3852,87,87
