Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,1901,14,14
Aying,1140,17,17
Baierbrunn,490,9,9
Brunnthal,906,15,15
Feldkirchen,1442,13,13
Garching,3252,49,49
Gräfelfing,2551,32,32
Grasbrunn,1067,13,13
Grünwald,1910,18,18
Haar,4563,52,52
Hohenbrunn,1441,21,21
Höhenkirchen-Siegertsbrunn,1987,27,27
Ismaning,2883,49,49
Kirchheim,2003,33,33
Neubiberg,2301,23,23
Neuried,1446,18,18
Oberhaching,2281,34,34
Oberschleißheim,2045,30,30
Ottobrunn,3964,38,38
Planegg,1787,19,19
Pullach,1495,27,27
Putzbrunn,1177,13,13
Sauerlach,1430,20,20
Schäftlarn,928,7,7
Straßlach-Dingharting,509,11,11
Taufkirchen,3436,42,42
Unterföhring,1951,41,41
Unterhaching,4325,83,83
Unterschleißheim,5447,66,66
