Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,1117,27,27
Aying,601,23,23
Baierbrunn,336,15,15
Brunnthal,541,15,15
Feldkirchen,772,16,16
Garching,2040,39,39
Gräfelfing,1524,65,65
Grasbrunn,593,25,25
Grünwald,1285,33,33
Haar,2803,70,70
Hohenbrunn,856,48,48
Höhenkirchen-Siegertsbrunn,1133,27,27
Ismaning,1722,38,38
Kirchheim,1145,35,35
Neubiberg,1393,24,24
Neuried,892,36,36
Oberhaching,1395,37,37
Oberschleißheim,1285,34,34
Ottobrunn,2453,76,76
Planegg,1030,30,30
Pullach,960,18,18
Putzbrunn,660,12,12
Sauerlach,822,20,20
Schäftlarn,617,26,26
Straßlach-Dingharting,285,2,2
Taufkirchen,2020,54,54
Unterföhring,1075,24,24
Unterhaching,2538,93,93
Unterschleißheim,3363,88,88
