Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,1170,28,28
Aying,668,29,29
Baierbrunn,354,12,12
Brunnthal,576,26,26
Feldkirchen,839,42,42
Garching,2125,59,59
Gräfelfing,1609,63,63
Grasbrunn,661,42,42
Grünwald,1366,36,36
Haar,3008,137,137
Hohenbrunn,926,40,40
Höhenkirchen-Siegertsbrunn,1228,67,67
Ismaning,1801,46,46
Kirchheim,1217,52,52
Neubiberg,1462,36,36
Neuried,958,33,33
Oberhaching,1473,54,54
Oberschleißheim,1371,61,61
Ottobrunn,2578,84,84
Planegg,1091,38,38
Pullach,1023,41,41
Putzbrunn,700,32,32
Sauerlach,907,46,46
Schäftlarn,656,18,18
Straßlach-Dingharting,306,8,8
Taufkirchen,2153,94,94
Unterföhring,1148,47,47
Unterhaching,2739,124,124
Unterschleißheim,3552,128,128
