Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,650,14,14
Aying,330,6,6
Baierbrunn,164,2,2
Brunnthal,276,11,11
Feldkirchen,424,11,11
Garching,1219,41,41
Gräfelfing,820,16,16
Grasbrunn,334,8,8
Grünwald,660,11,11
Haar,1915,30,30
Hohenbrunn,412,8,8
Höhenkirchen-Siegertsbrunn,596,18,18
Ismaning,944,12,12
Kirchheim,627,28,28
Neubiberg,812,13,13
Neuried,466,9,9
Oberhaching,826,19,19
Oberschleißheim,813,26,26
Ottobrunn,1518,32,32
Planegg,625,15,15
Pullach,620,6,6
Putzbrunn,402,10,10
Sauerlach,460,22,22
Schäftlarn,296,6,6
Straßlach-Dingharting,173,1,1
Taufkirchen,1241,22,22
Unterföhring,624,13,13
Unterhaching,1391,39,39
Unterschleißheim,1998,49,49
