Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,705,15,15
Aying,356,10,10
Baierbrunn,197,11,11
Brunnthal,311,8,8
Feldkirchen,466,8,8
Garching,1307,28,28
Gräfelfing,906,26,26
Grasbrunn,359,10,10
Grünwald,721,24,24
Haar,2022,38,38
Hohenbrunn,450,14,14
Höhenkirchen-Siegertsbrunn,692,31,31
Ismaning,1027,24,24
Kirchheim,685,18,18
Neubiberg,887,33,33
Neuried,493,9,9
Oberhaching,899,35,35
Oberschleißheim,856,15,15
Ottobrunn,1618,24,24
Planegg,671,12,12
Pullach,645,20,20
Putzbrunn,440,18,18
Sauerlach,524,20,20
Schäftlarn,318,6,6
Straßlach-Dingharting,194,3,3
Taufkirchen,1315,24,24
Unterföhring,664,14,14
Unterhaching,1565,42,42
Unterschleißheim,2134,57,57
