Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,1018,24,24
Aying,545,7,7
Baierbrunn,301,3,3
Brunnthal,491,11,11
Feldkirchen,693,16,16
Garching,1896,42,42
Gräfelfing,1332,23,23
Grasbrunn,514,14,14
Grünwald,1174,38,38
Haar,2560,41,41
Hohenbrunn,711,24,24
Höhenkirchen-Siegertsbrunn,1044,19,19
Ismaning,1600,26,26
Kirchheim,1039,48,48
Neubiberg,1298,41,41
Neuried,788,41,41
Oberhaching,1268,46,46
Oberschleißheim,1185,19,19
Ottobrunn,2244,37,37
Planegg,948,14,14
Pullach,891,19,19
Putzbrunn,608,16,16
Sauerlach,750,11,11
Schäftlarn,545,22,22
Straßlach-Dingharting,269,1,1
Taufkirchen,1833,41,41
Unterföhring,966,34,34
Unterhaching,2249,60,60
Unterschleißheim,3030,76,76
