Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,896,16,16
Aying,458,4,4
Baierbrunn,258,6,6
Brunnthal,423,10,10
Feldkirchen,602,17,17
Garching,1634,19,19
Gräfelfing,1137,18,18
Grasbrunn,421,6,6
Grünwald,953,14,14
Haar,2360,26,26
Hohenbrunn,581,7,7
Höhenkirchen-Siegertsbrunn,928,17,17
Ismaning,1374,23,23
Kirchheim,890,6,6
Neubiberg,1096,21,21
Neuried,619,4,4
Oberhaching,1110,12,12
Oberschleißheim,1060,16,16
Ottobrunn,1986,28,28
Planegg,838,18,18
Pullach,767,10,10
Putzbrunn,534,4,4
Sauerlach,651,5,5
Schäftlarn,464,8,8
Straßlach-Dingharting,236,2,2
Taufkirchen,1632,19,19
Unterföhring,804,17,17
Unterhaching,1931,30,30
Unterschleißheim,2647,28,28
