Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,1235,30,30
Aying,703,31,31
Baierbrunn,373,7,7
Brunnthal,614,21,21
Feldkirchen,899,40,40
Garching,2205,48,48
Gräfelfing,1721,66,66
Grasbrunn,717,28,28
Grünwald,1392,14,14
Haar,3225,121,121
Hohenbrunn,985,35,35
Höhenkirchen-Siegertsbrunn,1312,48,48
Ismaning,1921,64,64
Kirchheim,1287,39,39
Neubiberg,1533,31,31
Neuried,1010,33,33
Oberhaching,1568,60,60
Oberschleißheim,1440,35,35
Ottobrunn,2749,86,86
Planegg,1162,52,52
Pullach,1067,28,28
Putzbrunn,749,29,29
Sauerlach,985,49,49
Schäftlarn,697,31,31
Straßlach-Dingharting,320,10,10
Taufkirchen,2304,100,100
Unterföhring,1239,34,34
Unterhaching,2912,99,99
Unterschleißheim,3694,65,65
