Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,1090,44,44
Aying,578,21,21
Baierbrunn,321,14,14
Brunnthal,526,26,26
Feldkirchen,756,43,43
Garching,2001,67,67
Gräfelfing,1460,80,80
Grasbrunn,568,30,30
Grünwald,1252,60,60
Haar,2734,88,88
Hohenbrunn,808,39,39
Höhenkirchen-Siegertsbrunn,1107,41,41
Ismaning,1686,63,63
Kirchheim,1110,47,47
Neubiberg,1370,46,46
Neuried,856,51,51
Oberhaching,1359,50,50
Oberschleißheim,1251,32,32
Ottobrunn,2378,83,83
Planegg,1001,33,33
Pullach,942,25,25
Putzbrunn,648,22,22
Sauerlach,803,24,24
Schäftlarn,591,36,36
Straßlach-Dingharting,283,9,9
Taufkirchen,1966,92,92
Unterföhring,1051,57,57
Unterhaching,2445,141,141
Unterschleißheim,3275,115,115
