Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,981,12,12
Aying,516,14,14
Baierbrunn,289,2,2
Brunnthal,462,8,8
Feldkirchen,661,12,12
Garching,1784,20,20
Gräfelfing,1290,39,39
Grasbrunn,488,15,15
Grünwald,1093,35,35
Haar,2496,28,28
Hohenbrunn,659,19,19
Höhenkirchen-Siegertsbrunn,996,16,16
Ismaning,1535,46,46
Kirchheim,978,13,13
Neubiberg,1226,27,27
Neuried,714,26,26
Oberhaching,1198,19,19
Oberschleißheim,1145,10,10
Ottobrunn,2165,46,46
Planegg,919,15,15
Pullach,851,9,9
Putzbrunn,583,16,16
Sauerlach,732,31,31
Schäftlarn,512,10,10
Straßlach-Dingharting,261,0,0
Taufkirchen,1749,26,26
Unterföhring,914,13,13
Unterhaching,2137,52,52
Unterschleißheim,2892,42,42
