Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,1887,18,18
Aying,1123,22,22
Baierbrunn,481,7,7
Brunnthal,891,16,16
Feldkirchen,1429,25,25
Garching,3203,46,46
Gräfelfing,2519,48,48
Grasbrunn,1054,31,31
Grünwald,1892,20,20
Haar,4511,54,54
Hohenbrunn,1420,14,14
Höhenkirchen-Siegertsbrunn,1960,49,49
Ismaning,2834,65,65
Kirchheim,1970,33,33
Neubiberg,2278,45,45
Neuried,1428,38,38
Oberhaching,2247,44,44
Oberschleißheim,2015,38,38
Ottobrunn,3926,46,46
Planegg,1768,46,46
Pullach,1468,18,18
Putzbrunn,1164,32,32
Sauerlach,1410,22,22
Schäftlarn,921,16,16
Straßlach-Dingharting,498,10,10
Taufkirchen,3394,38,38
Unterföhring,1910,51,51
Unterhaching,4242,51,51
Unterschleißheim,5381,68,68
