Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,1435,94,94
Aying,839,44,44
Baierbrunn,414,15,15
Brunnthal,687,22,22
Feldkirchen,1025,47,47
Garching,2564,133,133
Gräfelfing,1954,73,73
Grasbrunn,803,39,39
Grünwald,1529,51,51
Haar,3619,176,176
Hohenbrunn,1125,60,60
Höhenkirchen-Siegertsbrunn,1487,80,80
Ismaning,2189,120,120
Kirchheim,1480,79,79
Neubiberg,1783,98,98
Neuried,1118,35,35
Oberhaching,1750,67,67
Oberschleißheim,1594,64,64
Ottobrunn,3094,158,158
Planegg,1287,53,53
Pullach,1189,54,54
Putzbrunn,862,49,49
Sauerlach,1116,46,46
Schäftlarn,756,21,21
Straßlach-Dingharting,360,17,17
Taufkirchen,2655,149,149
Unterföhring,1469,83,83
Unterhaching,3342,170,170
Unterschleißheim,4274,251,251
