Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,1142,25,25
Aying,639,38,38
Baierbrunn,343,8,8
Brunnthal,550,9,9
Feldkirchen,797,25,25
Garching,2066,28,28
Gräfelfing,1547,29,29
Grasbrunn,619,26,26
Grünwald,1330,47,47
Haar,2873,70,70
Hohenbrunn,886,35,35
Höhenkirchen-Siegertsbrunn,1162,29,29
Ismaning,1755,33,33
Kirchheim,1165,21,21
Neubiberg,1426,35,35
Neuried,925,34,34
Oberhaching,1419,25,25
Oberschleißheim,1310,27,27
Ottobrunn,2496,43,43
Planegg,1053,23,23
Pullach,982,22,22
Putzbrunn,668,9,9
Sauerlach,861,40,40
Schäftlarn,638,21,21
Straßlach-Dingharting,298,13,13
Taufkirchen,2061,41,41
Unterföhring,1101,27,27
Unterhaching,2615,77,77
Unterschleißheim,3426,63,63
