Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,1869,29,29
Aying,1101,35,35
Baierbrunn,474,3,3
Brunnthal,875,12,12
Feldkirchen,1405,48,48
Garching,3158,19,19
Gräfelfing,2484,19,19
Grasbrunn,1022,15,15
Grünwald,1873,32,32
Haar,4459,78,78
Hohenbrunn,1408,15,15
Höhenkirchen-Siegertsbrunn,1911,40,40
Ismaning,2771,35,35
Kirchheim,1937,56,56
Neubiberg,2237,24,24
Neuried,1392,29,29
Oberhaching,2203,48,48
Oberschleißheim,1978,30,30
Ottobrunn,3880,35,35
Planegg,1722,25,25
Pullach,1450,16,16
Putzbrunn,1132,14,14
Sauerlach,1388,38,38
Schäftlarn,906,10,10
Straßlach-Dingharting,488,13,13
Taufkirchen,3356,48,48
Unterföhring,1860,18,18
Unterhaching,4191,67,67
Unterschleißheim,5314,86,86
