Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,1256,21,21
Aying,721,18,18
Baierbrunn,378,5,5
Brunnthal,626,12,12
Feldkirchen,911,13,13
Garching,2243,39,39
Gräfelfing,1756,38,38
Grasbrunn,721,4,4
Grünwald,1411,19,19
Haar,3272,47,47
Hohenbrunn,1005,20,20
Höhenkirchen-Siegertsbrunn,1327,16,16
Ismaning,1959,39,39
Kirchheim,1301,14,14
Neubiberg,1562,36,36
Neuried,1025,15,15
Oberhaching,1591,24,24
Oberschleißheim,1457,17,17
Ottobrunn,2790,41,41
Planegg,1169,9,9
Pullach,1079,12,12
Putzbrunn,764,15,15
Sauerlach,991,6,6
Schäftlarn,709,12,12
Straßlach-Dingharting,325,5,5
Taufkirchen,2333,29,29
Unterföhring,1270,31,31
Unterhaching,2960,48,48
Unterschleißheim,3765,71,71
