Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,1780,32,32
Aying,1034,32,32
Baierbrunn,461,10,10
Brunnthal,838,11,11
Feldkirchen,1317,37,37
Garching,3065,49,49
Gräfelfing,2415,42,42
Grasbrunn,970,33,33
Grünwald,1792,26,26
Haar,4275,54,54
Hohenbrunn,1364,23,23
Höhenkirchen-Siegertsbrunn,1826,23,23
Ismaning,2671,49,49
Kirchheim,1844,47,47
Neubiberg,2158,24,24
Neuried,1333,25,25
Oberhaching,2084,27,27
Oberschleißheim,1897,22,22
Ottobrunn,3749,34,34
Planegg,1644,38,38
Pullach,1413,20,20
Putzbrunn,1088,11,11
Sauerlach,1319,14,14
Schäftlarn,880,17,17
Straßlach-Dingharting,465,6,6
Taufkirchen,3233,25,25
Unterföhring,1796,38,38
Unterhaching,4014,60,60
Unterschleißheim,5102,72,72
