Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,1705,29,29
Aying,994,23,23
Baierbrunn,446,6,6
Brunnthal,811,17,17
Feldkirchen,1249,35,35
Garching,2967,70,70
Gräfelfing,2329,31,31
Grasbrunn,925,17,17
Grünwald,1727,28,28
Haar,4163,71,71
Hohenbrunn,1319,30,30
Höhenkirchen-Siegertsbrunn,1768,44,44
Ismaning,2586,70,70
Kirchheim,1771,57,57
Neubiberg,2083,52,52
Neuried,1293,23,23
Oberhaching,2028,62,62
Oberschleißheim,1843,27,27
Ottobrunn,3659,65,65
Planegg,1560,36,36
Pullach,1369,38,38
Putzbrunn,1066,18,18
Sauerlach,1288,32,32
Schäftlarn,844,18,18
Straßlach-Dingharting,447,17,17
Taufkirchen,3154,75,75
Unterföhring,1734,29,29
Unterhaching,3895,74,74
Unterschleißheim,4942,84,84
