Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,1528,59,59
Aying,885,24,24
Baierbrunn,421,4,4
Brunnthal,745,33,33
Feldkirchen,1091,33,33
Garching,2716,87,87
Gräfelfing,2101,66,66
Grasbrunn,841,23,23
Grünwald,1599,31,31
Haar,3808,95,95
Hohenbrunn,1184,39,39
Höhenkirchen-Siegertsbrunn,1590,61,61
Ismaning,2336,82,82
Kirchheim,1567,47,47
Neubiberg,1917,64,64
Neuried,1198,44,44
Oberhaching,1841,47,47
Oberschleißheim,1680,66,66
Ottobrunn,3341,112,112
Planegg,1375,54,54
Pullach,1242,32,32
Putzbrunn,927,31,31
Sauerlach,1174,28,28
Schäftlarn,792,23,23
Straßlach-Dingharting,378,14,14
Taufkirchen,2856,109,109
Unterföhring,1571,45,45
Unterhaching,3552,110,110
Unterschleißheim,4491,162,162
