Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,1305,36,36
Aying,672,7,7
Baierbrunn,366,12,12
Brunnthal,594,18,18
Feldkirchen,859,20,20
Garching,2157,32,32
Gräfelfing,1656,48,48
Grasbrunn,689,28,28
Grünwald,1378,12,12
Haar,3105,97,97
Hohenbrunn,950,24,24
Höhenkirchen-Siegertsbrunn,1264,36,36
Ismaning,1857,56,56
Kirchheim,1248,31,31
Neubiberg,1503,42,42
Neuried,977,19,19
Oberhaching,1509,38,38
Oberschleißheim,1405,34,34
Ottobrunn,2663,85,85
Planegg,1110,19,19
Pullach,1039,16,16
Putzbrunn,720,20,20
Sauerlach,936,29,29
Schäftlarn,666,10,10
Straßlach-Dingharting,310,4,4
Taufkirchen,2204,51,51
Unterföhring,1205,57,57
Unterhaching,2814,76,76
Unterschleißheim,3629,77,77
