Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,1558,31,31
Aying,906,21,21
Baierbrunn,423,3,3
Brunnthal,757,12,12
Feldkirchen,1123,33,33
Garching,2758,43,43
Gräfelfing,2156,62,62
Grasbrunn,852,11,11
Grünwald,1630,31,31
Haar,3862,54,54
Hohenbrunn,1204,21,21
Höhenkirchen-Siegertsbrunn,1625,35,35
Ismaning,2379,48,48
Kirchheim,1598,32,32
Neubiberg,1941,27,27
Neuried,1217,19,19
Oberhaching,1870,29,29
Oberschleißheim,1707,28,28
Ottobrunn,3399,58,58
Planegg,1403,31,31
Pullach,1254,13,13
Putzbrunn,948,21,21
Sauerlach,1197,23,23
Schäftlarn,801,9,9
Straßlach-Dingharting,382,5,5
Taufkirchen,2906,51,51
Unterföhring,1604,33,33
Unterhaching,3598,46,46
Unterschleißheim,4560,71,71
