Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,946,38,38
Aying,487,10,10
Baierbrunn,281,9,9
Brunnthal,445,5,5
Feldkirchen,641,19,19
Garching,1729,43,43
Gräfelfing,1219,33,33
Grasbrunn,462,22,22
Grünwald,1040,38,38
Haar,2442,38,38
Hohenbrunn,628,24,24
Höhenkirchen-Siegertsbrunn,968,11,11
Ismaning,1457,42,42
Kirchheim,944,17,17
Neubiberg,1170,39,39
Neuried,670,19,19
Oberhaching,1153,19,19
Oberschleißheim,1108,23,23
Ottobrunn,2083,53,53
Planegg,893,27,27
Pullach,816,22,22
Putzbrunn,557,7,7
Sauerlach,687,19,19
Schäftlarn,490,7,7
Straßlach-Dingharting,258,8,8
Taufkirchen,1688,26,26
Unterföhring,883,35,35
Unterhaching,2031,41,41
Unterschleißheim,2787,64,64
