Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,1469,36,36
Aying,861,22,22
Baierbrunn,417,3,3
Brunnthal,713,26,26
Feldkirchen,1061,36,36
Garching,2631,68,68
Gräfelfing,2036,84,84
Grasbrunn,819,16,16
Grünwald,1569,40,40
Haar,3713,95,95
Hohenbrunn,1150,27,27
Höhenkirchen-Siegertsbrunn,1530,43,43
Ismaning,2254,67,67
Kirchheim,1520,40,40
Neubiberg,1854,73,73
Neuried,1154,36,36
Oberhaching,1794,45,45
Oberschleißheim,1615,21,21
Ottobrunn,3234,140,140
Planegg,1321,36,36
Pullach,1210,21,21
Putzbrunn,897,38,38
Sauerlach,1146,30,30
Schäftlarn,772,17,17
Straßlach-Dingharting,366,6,6
Taufkirchen,2747,93,93
Unterföhring,1526,57,57
Unterhaching,3443,101,101
Unterschleißheim,4329,56,56
