Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,1046,28,28
Aying,557,12,12
Baierbrunn,307,6,6
Brunnthal,500,9,9
Feldkirchen,713,20,20
Garching,1935,39,39
Gräfelfing,1382,50,50
Grasbrunn,539,25,25
Grünwald,1193,19,19
Haar,2646,86,86
Hohenbrunn,770,59,59
Höhenkirchen-Siegertsbrunn,1066,22,22
Ismaning,1623,23,23
Kirchheim,1063,24,24
Neubiberg,1324,26,26
Neuried,805,17,17
Oberhaching,1310,42,42
Oberschleißheim,1219,34,34
Ottobrunn,2295,51,51
Planegg,968,20,20
Pullach,917,26,26
Putzbrunn,626,18,18
Sauerlach,779,29,29
Schäftlarn,555,10,10
Straßlach-Dingharting,274,5,5
Taufkirchen,1874,41,41
Unterföhring,994,28,28
Unterhaching,2305,56,56
Unterschleißheim,3160,130,130
