,12_01_2021
Westerheim,3
Schelklingen,6
Laichingen,17
Heroldstatt,2
Allmendingen,6
Blaubeuren,11
Merklingen,1
Berghülen,0
Nellingen,3
Altheim,1
Öpfingen,0
Oberdischingen,0
Erbach,12
Blaustein,21
Dornstadt,8
Amstetten,16
Lonsee,6
Westerstetten,2
Beimerstetten,1
Weidenstetten,2
Staig,3
Altheim (Alb),5
Holzkirch,0
Breitingen,1
Illerkirchberg,4
Bernstadt,1
Langenau,14
Neenstetten,1
Börslingen,1
Ballendorf,0
Nerenstetten,0
Setzingen,0
Öllingen,1
Rammingen,5
Asselfingen,0
Balzheim,3
Grundsheim,0
Oberstadion,1
Emerkingen,0
Obermarchtal,0
Unterwachingen,2
Unterstadion,1
Dietenheim,9
Hausen am Bussen,0
Ehingen (Donau),32
Munderkingen,3
Rottenacker,9
Untermarchtal,0
Lauterach,0
Illerrieden,13
Schnürpflingen,1
Griesingen,0
Hüttisheim,4
Emeringen,0
Rechtenstein,0
Ulm,122
