,01_08_2022
Westerheim,8
Schelklingen,3
Laichingen,3
Heroldstatt,2
Allmendingen,2
Blaubeuren,2
Merklingen,4
Berghülen,2
Nellingen,2
Altheim,0
Öpfingen,0
Oberdischingen,0
Erbach,7
Blaustein,17
Dornstadt,8
Amstetten,2
Lonsee,5
Westerstetten,0
Beimerstetten,2
Weidenstetten,0
Staig,1
Altheim (Alb),2
Holzkirch,0
Breitingen,0
Illerkirchberg,3
Bernstadt,2
Langenau,8
Neenstetten,2
Börslingen,0
Ballendorf,0
Nerenstetten,0
Setzingen,0
Öllingen,0
Rammingen,1
Asselfingen,1
Balzheim,0
Grundsheim,2
Oberstadion,0
Emerkingen,0
Obermarchtal,0
Unterwachingen,0
Unterstadion,0
Dietenheim,5
Hausen am Bussen,0
Ehingen,12
Munderkingen,0
Rottenacker,1
Untermarchtal,0
Lauterach,0
Illerrieden,1
Schnürpflingen,1
Griesingen,1
Hüttisheim,0
Emeringen,0
Rechtenstein,0
Ulm,98
