,09_21_2021
Westerheim,0
Schelklingen,0
Laichingen,0
Heroldstatt,0
Allmendingen,0
Blaubeuren,3
Merklingen,0
Berghülen,1
Nellingen,0
Altheim,1
Öpfingen,0
Oberdischingen,0
Erbach,8
Blaustein,11
Dornstadt,0
Amstetten,1
Lonsee,1
Westerstetten,1
Beimerstetten,0
Weidenstetten,0
Staig,1
Altheim (Alb),0
Holzkirch,0
Breitingen,0
Illerkirchberg,1
Bernstadt,0
Langenau,5
Neenstetten,0
Börslingen,0
Ballendorf,0
Nerenstetten,0
Setzingen,0
Öllingen,0
Rammingen,1
Asselfingen,0
Balzheim,0
Grundsheim,0
Oberstadion,0
Emerkingen,0
Obermarchtal,0
Unterwachingen,0
Unterstadion,0
Dietenheim,0
Hausen am Bussen,1
Ehingen (Donau),6
Munderkingen,1
Rottenacker,0
Untermarchtal,0
Lauterach,0
Illerrieden,1
Schnürpflingen,0
Griesingen,0
Hüttisheim,0
Emeringen,0
Rechtenstein,0
Ulm,30
