,11_03_2021
Westerheim,2
Schelklingen,8
Laichingen,6
Heroldstatt,0
Allmendingen,0
Blaubeuren,13
Merklingen,2
Berghülen,6
Nellingen,0
Altheim,0
Öpfingen,0
Oberdischingen,1
Erbach,10
Blaustein,8
Dornstadt,6
Amstetten,0
Lonsee,2
Westerstetten,0
Beimerstetten,1
Weidenstetten,2
Staig,1
Altheim (Alb),4
Holzkirch,0
Breitingen,0
Illerkirchberg,2
Bernstadt,1
Langenau,11
Neenstetten,2
Börslingen,0
Ballendorf,0
Nerenstetten,0
Setzingen,0
Öllingen,0
Rammingen,0
Asselfingen,0
Balzheim,1
Grundsheim,0
Oberstadion,2
Emerkingen,1
Obermarchtal,2
Unterwachingen,0
Unterstadion,0
Dietenheim,11
Hausen am Bussen,0
Ehingen (Donau),25
Munderkingen,2
Rottenacker,1
Untermarchtal,1
Lauterach,0
Illerrieden,1
Schnürpflingen,0
Griesingen,3
Hüttisheim,0
Emeringen,0
Rechtenstein,0
Ulm,108
