,05_18_2021
Westerheim,0
Schelklingen,1
Laichingen,10
Heroldstatt,0
Allmendingen,0
Blaubeuren,2
Merklingen,0
Berghülen,0
Nellingen,2
Altheim,0
Öpfingen,0
Oberdischingen,0
Erbach,2
Blaustein,5
Dornstadt,1
Amstetten,2
Lonsee,0
Westerstetten,0
Beimerstetten,0
Weidenstetten,0
Staig,0
Altheim (Alb),0
Holzkirch,0
Breitingen,0
Illerkirchberg,0
Bernstadt,0
Langenau,5
Neenstetten,0
Börslingen,0
Ballendorf,0
Nerenstetten,0
Setzingen,0
Öllingen,0
Rammingen,1
Asselfingen,0
Balzheim,2
Grundsheim,0
Oberstadion,0
Emerkingen,0
Obermarchtal,0
Unterwachingen,0
Unterstadion,0
Dietenheim,2
Hausen am Bussen,1
Ehingen (Donau),9
Munderkingen,0
Rottenacker,2
Untermarchtal,1
Lauterach,0
Illerrieden,0
Schnürpflingen,0
Griesingen,1
Hüttisheim,0
Emeringen,0
Rechtenstein,0
Ulm,55
