,01_04_2022
Westerheim,4
Schelklingen,5
Laichingen,3
Heroldstatt,1
Allmendingen,1
Blaubeuren,3
Merklingen,1
Berghülen,1
Nellingen,2
Altheim,1
Öpfingen,1
Oberdischingen,2
Erbach,12
Blaustein,11
Dornstadt,2
Amstetten,2
Lonsee,2
Westerstetten,0
Beimerstetten,3
Weidenstetten,3
Staig,4
Altheim (Alb),0
Holzkirch,0
Breitingen,0
Illerkirchberg,5
Bernstadt,0
Langenau,10
Neenstetten,1
Börslingen,0
Ballendorf,1
Nerenstetten,0
Setzingen,0
Öllingen,0
Rammingen,0
Asselfingen,0
Balzheim,0
Grundsheim,0
Oberstadion,1
Emerkingen,2
Obermarchtal,0
Unterwachingen,0
Unterstadion,3
Dietenheim,0
Hausen am Bussen,0
Ehingen,14
Munderkingen,2
Rottenacker,2
Untermarchtal,0
Lauterach,0
Illerrieden,0
Schnürpflingen,0
Griesingen,1
Hüttisheim,0
Emeringen,0
Rechtenstein,0
Ulm,79
