,05_27_2021
Westerheim,0
Schelklingen,1
Laichingen,3
Heroldstatt,1
Allmendingen,0
Blaubeuren,7
Merklingen,0
Berghülen,0
Nellingen,0
Altheim,1
Öpfingen,2
Oberdischingen,0
Erbach,0
Blaustein,0
Dornstadt,1
Amstetten,0
Lonsee,1
Westerstetten,1
Beimerstetten,0
Weidenstetten,0
Staig,0
Altheim (Alb),0
Holzkirch,0
Breitingen,0
Illerkirchberg,0
Bernstadt,0
Langenau,2
Neenstetten,0
Börslingen,0
Ballendorf,0
Nerenstetten,0
Setzingen,0
Öllingen,0
Rammingen,0
Asselfingen,0
Balzheim,0
Grundsheim,0
Oberstadion,4
Emerkingen,0
Obermarchtal,0
Unterwachingen,0
Unterstadion,0
Dietenheim,0
Hausen am Bussen,0
Ehingen (Donau),5
Munderkingen,1
Rottenacker,0
Untermarchtal,0
Lauterach,0
Illerrieden,1
Schnürpflingen,0
Griesingen,1
Hüttisheim,0
Emeringen,0
Rechtenstein,0
Ulm,12
