,01_05_2022
Westerheim,3
Schelklingen,11
Laichingen,12
Heroldstatt,0
Allmendingen,2
Blaubeuren,6
Merklingen,0
Berghülen,0
Nellingen,1
Altheim,1
Öpfingen,2
Oberdischingen,1
Erbach,11
Blaustein,7
Dornstadt,3
Amstetten,0
Lonsee,1
Westerstetten,1
Beimerstetten,1
Weidenstetten,3
Staig,2
Altheim (Alb),1
Holzkirch,0
Breitingen,0
Illerkirchberg,6
Bernstadt,0
Langenau,13
Neenstetten,3
Börslingen,0
Ballendorf,0
Nerenstetten,0
Setzingen,0
Öllingen,0
Rammingen,0
Asselfingen,0
Balzheim,2
Grundsheim,0
Oberstadion,1
Emerkingen,1
Obermarchtal,0
Unterwachingen,0
Unterstadion,0
Dietenheim,6
Hausen am Bussen,0
Ehingen,18
Munderkingen,3
Rottenacker,1
Untermarchtal,1
Lauterach,0
Illerrieden,5
Schnürpflingen,5
Griesingen,1
Hüttisheim,1
Emeringen,0
Rechtenstein,0
Ulm,109
