,01_12_2022
Westerheim,10
Schelklingen,14
Laichingen,20
Heroldstatt,3
Allmendingen,8
Blaubeuren,21
Merklingen,4
Berghülen,1
Nellingen,5
Altheim,0
Öpfingen,1
Oberdischingen,2
Erbach,31
Blaustein,12
Dornstadt,13
Amstetten,13
Lonsee,11
Westerstetten,1
Beimerstetten,2
Weidenstetten,2
Staig,3
Altheim (Alb),3
Holzkirch,0
Breitingen,0
Illerkirchberg,5
Bernstadt,2
Langenau,15
Neenstetten,0
Börslingen,1
Ballendorf,1
Nerenstetten,0
Setzingen,0
Öllingen,2
Rammingen,1
Asselfingen,1
Balzheim,0
Grundsheim,0
Oberstadion,3
Emerkingen,0
Obermarchtal,0
Unterwachingen,0
Unterstadion,1
Dietenheim,7
Hausen am Bussen,0
Ehingen,39
Munderkingen,7
Rottenacker,0
Untermarchtal,0
Lauterach,0
Illerrieden,4
Schnürpflingen,1
Griesingen,0
Hüttisheim,0
Emeringen,0
Rechtenstein,0
Ulm,194
