,12_20_2021
Westerheim,0
Schelklingen,0
Laichingen,4
Heroldstatt,0
Allmendingen,0
Blaubeuren,1
Merklingen,0
Berghülen,1
Nellingen,0
Altheim,0
Öpfingen,1
Oberdischingen,0
Erbach,1
Blaustein,3
Dornstadt,1
Amstetten,0
Lonsee,2
Westerstetten,1
Beimerstetten,0
Weidenstetten,0
Staig,0
Altheim (Alb),0
Holzkirch,0
Breitingen,0
Illerkirchberg,0
Bernstadt,0
Langenau,0
Neenstetten,0
Börslingen,0
Ballendorf,0
Nerenstetten,0
Setzingen,0
Öllingen,0
Rammingen,0
Asselfingen,0
Balzheim,1
Grundsheim,0
Oberstadion,0
Emerkingen,0
Obermarchtal,0
Unterwachingen,0
Unterstadion,0
Dietenheim,0
Hausen am Bussen,0
Ehingen,3
Munderkingen,0
Rottenacker,2
Untermarchtal,0
Lauterach,0
Illerrieden,0
Schnürpflingen,0
Griesingen,0
Hüttisheim,0
Emeringen,0
Rechtenstein,0
Ulm,34
