,01_18_2022
Westerheim,4
Schelklingen,13
Laichingen,16
Heroldstatt,2
Allmendingen,1
Blaubeuren,17
Merklingen,2
Berghülen,6
Nellingen,3
Altheim,0
Öpfingen,2
Oberdischingen,1
Erbach,16
Blaustein,18
Dornstadt,11
Amstetten,5
Lonsee,4
Westerstetten,2
Beimerstetten,1
Weidenstetten,0
Staig,7
Altheim (Alb),5
Holzkirch,3
Breitingen,0
Illerkirchberg,0
Bernstadt,13
Langenau,16
Neenstetten,1
Börslingen,0
Ballendorf,1
Nerenstetten,0
Setzingen,0
Öllingen,0
Rammingen,2
Asselfingen,2
Balzheim,0
Grundsheim,2
Oberstadion,2
Emerkingen,1
Obermarchtal,2
Unterwachingen,0
Unterstadion,0
Dietenheim,7
Hausen am Bussen,0
Ehingen,31
Munderkingen,13
Rottenacker,3
Untermarchtal,1
Lauterach,0
Illerrieden,0
Schnürpflingen,0
Griesingen,4
Hüttisheim,2
Emeringen,0
Rechtenstein,0
Ulm,197
