,11_29_2021
Westerheim,1
Schelklingen,2
Laichingen,13
Heroldstatt,1
Allmendingen,0
Blaubeuren,4
Merklingen,0
Berghülen,0
Nellingen,2
Altheim,0
Öpfingen,1
Oberdischingen,1
Erbach,2
Blaustein,15
Dornstadt,3
Amstetten,6
Lonsee,8
Westerstetten,3
Beimerstetten,0
Weidenstetten,2
Staig,2
Altheim (Alb),1
Holzkirch,3
Breitingen,0
Illerkirchberg,3
Bernstadt,0
Langenau,10
Neenstetten,0
Börslingen,0
Ballendorf,0
Nerenstetten,0
Setzingen,0
Öllingen,0
Rammingen,1
Asselfingen,0
Balzheim,0
Grundsheim,0
Oberstadion,0
Emerkingen,0
Obermarchtal,0
Unterwachingen,0
Unterstadion,0
Dietenheim,7
Hausen am Bussen,1
Ehingen (Donau),7
Munderkingen,1
Rottenacker,0
Untermarchtal,1
Lauterach,1
Illerrieden,1
Schnürpflingen,0
Griesingen,0
Hüttisheim,1
Emeringen,0
Rechtenstein,1
Ulm,75
