,12_28_2021
Westerheim,2
Schelklingen,6
Laichingen,4
Heroldstatt,4
Allmendingen,1
Blaubeuren,0
Merklingen,1
Berghülen,0
Nellingen,0
Altheim,1
Öpfingen,0
Oberdischingen,0
Erbach,5
Blaustein,7
Dornstadt,5
Amstetten,2
Lonsee,0
Westerstetten,0
Beimerstetten,0
Weidenstetten,0
Staig,0
Altheim (Alb),0
Holzkirch,0
Breitingen,0
Illerkirchberg,1
Bernstadt,0
Langenau,7
Neenstetten,2
Börslingen,0
Ballendorf,0
Nerenstetten,0
Setzingen,0
Öllingen,1
Rammingen,4
Asselfingen,0
Balzheim,0
Grundsheim,0
Oberstadion,0
Emerkingen,0
Obermarchtal,0
Unterwachingen,0
Unterstadion,7
Dietenheim,3
Hausen am Bussen,0
Ehingen,10
Munderkingen,1
Rottenacker,4
Untermarchtal,0
Lauterach,0
Illerrieden,4
Schnürpflingen,1
Griesingen,1
Hüttisheim,1
Emeringen,0
Rechtenstein,0
Ulm,61
