,12_30_2021
Westerheim,0
Schelklingen,3
Laichingen,1
Heroldstatt,0
Allmendingen,2
Blaubeuren,4
Merklingen,0
Berghülen,0
Nellingen,4
Altheim,0
Öpfingen,0
Oberdischingen,2
Erbach,6
Blaustein,11
Dornstadt,9
Amstetten,0
Lonsee,3
Westerstetten,0
Beimerstetten,1
Weidenstetten,0
Staig,2
Altheim (Alb),0
Holzkirch,0
Breitingen,0
Illerkirchberg,1
Bernstadt,0
Langenau,8
Neenstetten,0
Börslingen,0
Ballendorf,0
Nerenstetten,0
Setzingen,1
Öllingen,0
Rammingen,0
Asselfingen,0
Balzheim,0
Grundsheim,0
Oberstadion,1
Emerkingen,1
Obermarchtal,0
Unterwachingen,0
Unterstadion,0
Dietenheim,1
Hausen am Bussen,0
Ehingen,10
Munderkingen,2
Rottenacker,1
Untermarchtal,0
Lauterach,1
Illerrieden,4
Schnürpflingen,3
Griesingen,0
Hüttisheim,0
Emeringen,0
Rechtenstein,0
Ulm,75
