,10_22_2021
Westerheim,0
Schelklingen,4
Laichingen,5
Heroldstatt,0
Allmendingen,0
Blaubeuren,2
Merklingen,0
Berghülen,0
Nellingen,0
Altheim,0
Öpfingen,0
Oberdischingen,0
Erbach,9
Blaustein,3
Dornstadt,3
Amstetten,0
Lonsee,2
Westerstetten,0
Beimerstetten,0
Weidenstetten,0
Staig,0
Altheim (Alb),1
Holzkirch,0
Breitingen,0
Illerkirchberg,5
Bernstadt,3
Langenau,6
Neenstetten,0
Börslingen,0
Ballendorf,0
Nerenstetten,0
Setzingen,0
Öllingen,0
Rammingen,0
Asselfingen,0
Balzheim,0
Grundsheim,0
Oberstadion,0
Emerkingen,0
Obermarchtal,1
Unterwachingen,0
Unterstadion,0
Dietenheim,1
Hausen am Bussen,0
Ehingen (Donau),8
Munderkingen,0
Rottenacker,0
Untermarchtal,1
Lauterach,0
Illerrieden,2
Schnürpflingen,0
Griesingen,1
Hüttisheim,0
Emeringen,0
Rechtenstein,0
Ulm,34
