,02_05_2022
Westerheim,2
Schelklingen,9
Laichingen,13
Heroldstatt,4
Allmendingen,3
Blaubeuren,9
Merklingen,2
Berghülen,1
Nellingen,2
Altheim,0
Öpfingen,4
Oberdischingen,3
Erbach,33
Blaustein,18
Dornstadt,24
Amstetten,2
Lonsee,5
Westerstetten,6
Beimerstetten,2
Weidenstetten,1
Staig,0
Altheim (Alb),3
Holzkirch,0
Breitingen,0
Illerkirchberg,3
Bernstadt,0
Langenau,11
Neenstetten,0
Börslingen,1
Ballendorf,0
Nerenstetten,0
Setzingen,1
Öllingen,1
Rammingen,1
Asselfingen,8
Balzheim,2
Grundsheim,0
Oberstadion,2
Emerkingen,0
Obermarchtal,7
Unterwachingen,0
Unterstadion,0
Dietenheim,3
Hausen am Bussen,0
Ehingen,54
Munderkingen,13
Rottenacker,2
Untermarchtal,2
Lauterach,2
Illerrieden,2
Schnürpflingen,0
Griesingen,2
Hüttisheim,3
Emeringen,0
Rechtenstein,0
Ulm,128
