,10_09_2021
Westerheim,1
Schelklingen,0
Laichingen,4
Heroldstatt,0
Allmendingen,0
Blaubeuren,0
Merklingen,0
Berghülen,0
Nellingen,0
Altheim,0
Öpfingen,1
Oberdischingen,0
Erbach,5
Blaustein,1
Dornstadt,5
Amstetten,0
Lonsee,0
Westerstetten,0
Beimerstetten,0
Weidenstetten,0
Staig,0
Altheim (Alb),0
Holzkirch,0
Breitingen,0
Illerkirchberg,1
Bernstadt,0
Langenau,3
Neenstetten,0
Börslingen,0
Ballendorf,0
Nerenstetten,0
Setzingen,0
Öllingen,0
Rammingen,0
Asselfingen,0
Balzheim,0
Grundsheim,0
Oberstadion,0
Emerkingen,0
Obermarchtal,0
Unterwachingen,0
Unterstadion,0
Dietenheim,2
Hausen am Bussen,0
Ehingen (Donau),3
Munderkingen,0
Rottenacker,0
Untermarchtal,1
Lauterach,0
Illerrieden,0
Schnürpflingen,2
Griesingen,0
Hüttisheim,0
Emeringen,0
Rechtenstein,0
Ulm,25
