,12_29_2021
Westerheim,0
Schelklingen,1
Laichingen,4
Heroldstatt,0
Allmendingen,5
Blaubeuren,3
Merklingen,0
Berghülen,0
Nellingen,1
Altheim,0
Öpfingen,2
Oberdischingen,2
Erbach,4
Blaustein,3
Dornstadt,6
Amstetten,8
Lonsee,1
Westerstetten,0
Beimerstetten,0
Weidenstetten,0
Staig,0
Altheim (Alb),1
Holzkirch,0
Breitingen,0
Illerkirchberg,1
Bernstadt,0
Langenau,5
Neenstetten,0
Börslingen,0
Ballendorf,0
Nerenstetten,0
Setzingen,0
Öllingen,0
Rammingen,0
Asselfingen,0
Balzheim,0
Grundsheim,0
Oberstadion,0
Emerkingen,0
Obermarchtal,0
Unterwachingen,0
Unterstadion,0
Dietenheim,3
Hausen am Bussen,0
Ehingen,7
Munderkingen,2
Rottenacker,3
Untermarchtal,0
Lauterach,0
Illerrieden,1
Schnürpflingen,1
Griesingen,2
Hüttisheim,0
Emeringen,0
Rechtenstein,0
Ulm,45
