,01_14_2022
Westerheim,9
Schelklingen,8
Laichingen,20
Heroldstatt,1
Allmendingen,2
Blaubeuren,14
Merklingen,3
Berghülen,1
Nellingen,7
Altheim,1
Öpfingen,2
Oberdischingen,1
Erbach,18
Blaustein,21
Dornstadt,8
Amstetten,15
Lonsee,6
Westerstetten,2
Beimerstetten,1
Weidenstetten,0
Staig,2
Altheim (Alb),4
Holzkirch,0
Breitingen,0
Illerkirchberg,3
Bernstadt,2
Langenau,10
Neenstetten,0
Börslingen,0
Ballendorf,2
Nerenstetten,0
Setzingen,0
Öllingen,3
Rammingen,4
Asselfingen,0
Balzheim,3
Grundsheim,0
Oberstadion,2
Emerkingen,1
Obermarchtal,0
Unterwachingen,0
Unterstadion,0
Dietenheim,1
Hausen am Bussen,0
Ehingen,26
Munderkingen,14
Rottenacker,0
Untermarchtal,0
Lauterach,0
Illerrieden,4
Schnürpflingen,0
Griesingen,2
Hüttisheim,3
Emeringen,0
Rechtenstein,0
Ulm,126
