,11_18_2021
Westerheim,4
Schelklingen,8
Laichingen,14
Heroldstatt,1
Allmendingen,5
Blaubeuren,5
Merklingen,2
Berghülen,0
Nellingen,0
Altheim,1
Öpfingen,2
Oberdischingen,0
Erbach,11
Blaustein,8
Dornstadt,4
Amstetten,5
Lonsee,4
Westerstetten,0
Beimerstetten,0
Weidenstetten,0
Staig,3
Altheim (Alb),1
Holzkirch,0
Breitingen,0
Illerkirchberg,4
Bernstadt,2
Langenau,13
Neenstetten,1
Börslingen,0
Ballendorf,0
Nerenstetten,0
Setzingen,0
Öllingen,0
Rammingen,1
Asselfingen,4
Balzheim,8
Grundsheim,1
Oberstadion,1
Emerkingen,0
Obermarchtal,0
Unterwachingen,1
Unterstadion,0
Dietenheim,8
Hausen am Bussen,0
Ehingen (Donau),28
Munderkingen,4
Rottenacker,0
Untermarchtal,0
Lauterach,0
Illerrieden,2
Schnürpflingen,0
Griesingen,0
Hüttisheim,0
Emeringen,0
Rechtenstein,0
Ulm,155
