,12_14_2021
Westerheim,6
Schelklingen,11
Laichingen,16
Heroldstatt,0
Allmendingen,4
Blaubeuren,6
Merklingen,0
Berghülen,3
Nellingen,6
Altheim,0
Öpfingen,7
Oberdischingen,2
Erbach,5
Blaustein,10
Dornstadt,5
Amstetten,5
Lonsee,3
Westerstetten,1
Beimerstetten,0
Weidenstetten,0
Staig,2
Altheim (Alb),6
Holzkirch,0
Breitingen,0
Illerkirchberg,0
Bernstadt,2
Langenau,3
Neenstetten,1
Börslingen,0
Ballendorf,2
Nerenstetten,0
Setzingen,1
Öllingen,0
Rammingen,0
Asselfingen,0
Balzheim,3
Grundsheim,0
Oberstadion,1
Emerkingen,0
Obermarchtal,3
Unterwachingen,2
Unterstadion,0
Dietenheim,7
Hausen am Bussen,0
Ehingen,21
Munderkingen,1
Rottenacker,4
Untermarchtal,0
Lauterach,0
Illerrieden,10
Schnürpflingen,0
Griesingen,0
Hüttisheim,3
Emeringen,0
Rechtenstein,0
Ulm,127
