,12_10_2021
Westerheim,2
Schelklingen,8
Laichingen,14
Heroldstatt,0
Allmendingen,2
Blaubeuren,1
Merklingen,1
Berghülen,0
Nellingen,0
Altheim,0
Öpfingen,1
Oberdischingen,0
Erbach,4
Blaustein,3
Dornstadt,2
Amstetten,5
Lonsee,2
Westerstetten,2
Beimerstetten,1
Weidenstetten,0
Staig,3
Altheim (Alb),1
Holzkirch,0
Breitingen,0
Illerkirchberg,3
Bernstadt,1
Langenau,6
Neenstetten,0
Börslingen,0
Ballendorf,0
Nerenstetten,0
Setzingen,0
Öllingen,2
Rammingen,1
Asselfingen,0
Balzheim,1
Grundsheim,0
Oberstadion,1
Emerkingen,0
Obermarchtal,5
Unterwachingen,0
Unterstadion,1
Dietenheim,7
Hausen am Bussen,0
Ehingen,18
Munderkingen,2
Rottenacker,5
Untermarchtal,0
Lauterach,1
Illerrieden,6
Schnürpflingen,0
Griesingen,0
Hüttisheim,0
Emeringen,0
Rechtenstein,0
Ulm,71
