,12_03_2021
Westerheim,3
Schelklingen,4
Laichingen,12
Heroldstatt,2
Allmendingen,0
Blaubeuren,3
Merklingen,3
Berghülen,2
Nellingen,3
Altheim,1
Öpfingen,1
Oberdischingen,2
Erbach,17
Blaustein,32
Dornstadt,12
Amstetten,9
Lonsee,5
Westerstetten,0
Beimerstetten,0
Weidenstetten,0
Staig,2
Altheim (Alb),6
Holzkirch,0
Breitingen,1
Illerkirchberg,3
Bernstadt,1
Langenau,11
Neenstetten,1
Börslingen,0
Ballendorf,0
Nerenstetten,0
Setzingen,1
Öllingen,0
Rammingen,1
Asselfingen,2
Balzheim,3
Grundsheim,0
Oberstadion,1
Emerkingen,0
Obermarchtal,2
Unterwachingen,0
Unterstadion,1
Dietenheim,12
Hausen am Bussen,1
Ehingen,33
Munderkingen,0
Rottenacker,5
Untermarchtal,0
Lauterach,0
Illerrieden,2
Schnürpflingen,0
Griesingen,0
Hüttisheim,1
Emeringen,0
Rechtenstein,0
Ulm,122
