,01_27_2022
Westerheim,8
Schelklingen,9
Laichingen,19
Heroldstatt,7
Allmendingen,4
Blaubeuren,17
Merklingen,7
Berghülen,3
Nellingen,3
Altheim,0
Öpfingen,1
Oberdischingen,1
Erbach,30
Blaustein,39
Dornstadt,23
Amstetten,9
Lonsee,8
Westerstetten,4
Beimerstetten,8
Weidenstetten,1
Staig,17
Altheim (Alb),2
Holzkirch,2
Breitingen,0
Illerkirchberg,20
Bernstadt,5
Langenau,62
Neenstetten,0
Börslingen,0
Ballendorf,1
Nerenstetten,0
Setzingen,1
Öllingen,1
Rammingen,6
Asselfingen,2
Balzheim,5
Grundsheim,0
Oberstadion,1
Emerkingen,0
Obermarchtal,0
Unterwachingen,0
Unterstadion,2
Dietenheim,32
Hausen am Bussen,1
Ehingen,52
Munderkingen,27
Rottenacker,1
Untermarchtal,1
Lauterach,0
Illerrieden,11
Schnürpflingen,3
Griesingen,2
Hüttisheim,3
Emeringen,0
Rechtenstein,0
Ulm,368
