,05_12_2021
Westerheim,0
Schelklingen,1
Laichingen,13
Heroldstatt,2
Allmendingen,0
Blaubeuren,1
Merklingen,0
Berghülen,0
Nellingen,0
Altheim,0
Öpfingen,1
Oberdischingen,0
Erbach,4
Blaustein,5
Dornstadt,0
Amstetten,3
Lonsee,0
Westerstetten,1
Beimerstetten,4
Weidenstetten,0
Staig,0
Altheim (Alb),0
Holzkirch,0
Breitingen,1
Illerkirchberg,2
Bernstadt,0
Langenau,5
Neenstetten,0
Börslingen,0
Ballendorf,0
Nerenstetten,0
Setzingen,2
Öllingen,0
Rammingen,1
Asselfingen,1
Balzheim,4
Grundsheim,0
Oberstadion,0
Emerkingen,0
Obermarchtal,0
Unterwachingen,0
Unterstadion,0
Dietenheim,4
Hausen am Bussen,0
Ehingen (Donau),8
Munderkingen,0
Rottenacker,2
Untermarchtal,0
Lauterach,0
Illerrieden,0
Schnürpflingen,0
Griesingen,0
Hüttisheim,0
Emeringen,0
Rechtenstein,0
Ulm,75
