,05_04_2021
Westerheim,0
Schelklingen,3
Laichingen,8
Heroldstatt,1
Allmendingen,0
Blaubeuren,8
Merklingen,1
Berghülen,1
Nellingen,1
Altheim,0
Öpfingen,2
Oberdischingen,0
Erbach,6
Blaustein,6
Dornstadt,1
Amstetten,1
Lonsee,0
Westerstetten,0
Beimerstetten,5
Weidenstetten,0
Staig,4
Altheim (Alb),0
Holzkirch,0
Breitingen,0
Illerkirchberg,3
Bernstadt,0
Langenau,3
Neenstetten,0
Börslingen,0
Ballendorf,0
Nerenstetten,0
Setzingen,1
Öllingen,0
Rammingen,0
Asselfingen,0
Balzheim,5
Grundsheim,0
Oberstadion,2
Emerkingen,0
Obermarchtal,0
Unterwachingen,0
Unterstadion,0
Dietenheim,1
Hausen am Bussen,1
Ehingen (Donau),7
Munderkingen,0
Rottenacker,0
Untermarchtal,0
Lauterach,0
Illerrieden,0
Schnürpflingen,0
Griesingen,0
Hüttisheim,1
Emeringen,0
Rechtenstein,0
Ulm,52
