,10_12_2021
Westerheim,0
Schelklingen,4
Laichingen,1
Heroldstatt,0
Allmendingen,0
Blaubeuren,0
Merklingen,0
Berghülen,0
Nellingen,0
Altheim,0
Öpfingen,3
Oberdischingen,1
Erbach,11
Blaustein,3
Dornstadt,2
Amstetten,1
Lonsee,1
Westerstetten,1
Beimerstetten,0
Weidenstetten,1
Staig,0
Altheim (Alb),3
Holzkirch,0
Breitingen,0
Illerkirchberg,0
Bernstadt,0
Langenau,6
Neenstetten,0
Börslingen,0
Ballendorf,1
Nerenstetten,0
Setzingen,0
Öllingen,0
Rammingen,0
Asselfingen,0
Balzheim,0
Grundsheim,0
Oberstadion,0
Emerkingen,0
Obermarchtal,0
Unterwachingen,0
Unterstadion,0
Dietenheim,1
Hausen am Bussen,0
Ehingen (Donau),5
Munderkingen,1
Rottenacker,0
Untermarchtal,0
Lauterach,0
Illerrieden,0
Schnürpflingen,0
Griesingen,0
Hüttisheim,0
Emeringen,0
Rechtenstein,0
Ulm,42
