,01_11_2022
Westerheim,14
Schelklingen,13
Laichingen,12
Heroldstatt,3
Allmendingen,2
Blaubeuren,13
Merklingen,8
Berghülen,0
Nellingen,7
Altheim,0
Öpfingen,7
Oberdischingen,4
Erbach,31
Blaustein,25
Dornstadt,7
Amstetten,4
Lonsee,19
Westerstetten,0
Beimerstetten,0
Weidenstetten,1
Staig,4
Altheim (Alb),3
Holzkirch,0
Breitingen,2
Illerkirchberg,4
Bernstadt,0
Langenau,20
Neenstetten,3
Börslingen,0
Ballendorf,0
Nerenstetten,0
Setzingen,0
Öllingen,1
Rammingen,0
Asselfingen,2
Balzheim,10
Grundsheim,0
Oberstadion,2
Emerkingen,3
Obermarchtal,0
Unterwachingen,0
Unterstadion,0
Dietenheim,14
Hausen am Bussen,0
Ehingen,34
Munderkingen,4
Rottenacker,3
Untermarchtal,0
Lauterach,0
Illerrieden,1
Schnürpflingen,0
Griesingen,0
Hüttisheim,0
Emeringen,1
Rechtenstein,0
Ulm,210
