,10_21_2021
Westerheim,2
Schelklingen,1
Laichingen,4
Heroldstatt,0
Allmendingen,0
Blaubeuren,3
Merklingen,0
Berghülen,0
Nellingen,0
Altheim,0
Öpfingen,1
Oberdischingen,2
Erbach,1
Blaustein,6
Dornstadt,7
Amstetten,2
Lonsee,0
Westerstetten,2
Beimerstetten,1
Weidenstetten,0
Staig,0
Altheim (Alb),0
Holzkirch,0
Breitingen,0
Illerkirchberg,3
Bernstadt,1
Langenau,5
Neenstetten,0
Börslingen,0
Ballendorf,0
Nerenstetten,0
Setzingen,0
Öllingen,0
Rammingen,0
Asselfingen,0
Balzheim,0
Grundsheim,0
Oberstadion,0
Emerkingen,0
Obermarchtal,1
Unterwachingen,0
Unterstadion,0
Dietenheim,3
Hausen am Bussen,0
Ehingen (Donau),9
Munderkingen,0
Rottenacker,0
Untermarchtal,0
Lauterach,1
Illerrieden,3
Schnürpflingen,0
Griesingen,0
Hüttisheim,0
Emeringen,0
Rechtenstein,0
Ulm,44
