,01_22_2022
Westerheim,2
Schelklingen,4
Laichingen,8
Heroldstatt,0
Allmendingen,3
Blaubeuren,10
Merklingen,0
Berghülen,0
Nellingen,5
Altheim,1
Öpfingen,0
Oberdischingen,0
Erbach,28
Blaustein,6
Dornstadt,6
Amstetten,6
Lonsee,4
Westerstetten,7
Beimerstetten,4
Weidenstetten,1
Staig,3
Altheim (Alb),0
Holzkirch,0
Breitingen,1
Illerkirchberg,3
Bernstadt,8
Langenau,33
Neenstetten,0
Börslingen,2
Ballendorf,0
Nerenstetten,0
Setzingen,0
Öllingen,0
Rammingen,6
Asselfingen,0
Balzheim,0
Grundsheim,0
Oberstadion,1
Emerkingen,4
Obermarchtal,0
Unterwachingen,0
Unterstadion,1
Dietenheim,6
Hausen am Bussen,0
Ehingen,29
Munderkingen,22
Rottenacker,2
Untermarchtal,3
Lauterach,0
Illerrieden,6
Schnürpflingen,2
Griesingen,0
Hüttisheim,1
Emeringen,0
Rechtenstein,0
Ulm,183
