,05_19_2021
Westerheim,0
Schelklingen,2
Laichingen,3
Heroldstatt,2
Allmendingen,1
Blaubeuren,3
Merklingen,0
Berghülen,0
Nellingen,0
Altheim,0
Öpfingen,0
Oberdischingen,0
Erbach,0
Blaustein,3
Dornstadt,1
Amstetten,2
Lonsee,0
Westerstetten,0
Beimerstetten,0
Weidenstetten,0
Staig,0
Altheim (Alb),1
Holzkirch,0
Breitingen,0
Illerkirchberg,0
Bernstadt,0
Langenau,5
Neenstetten,0
Börslingen,0
Ballendorf,0
Nerenstetten,0
Setzingen,0
Öllingen,0
Rammingen,0
Asselfingen,0
Balzheim,0
Grundsheim,0
Oberstadion,1
Emerkingen,0
Obermarchtal,1
Unterwachingen,0
Unterstadion,0
Dietenheim,0
Hausen am Bussen,0
Ehingen (Donau),5
Munderkingen,1
Rottenacker,0
Untermarchtal,0
Lauterach,0
Illerrieden,1
Schnürpflingen,0
Griesingen,0
Hüttisheim,1
Emeringen,0
Rechtenstein,0
Ulm,17
