,01_20_2022
Westerheim,6
Schelklingen,11
Laichingen,50
Heroldstatt,6
Allmendingen,5
Blaubeuren,17
Merklingen,2
Berghülen,7
Nellingen,9
Altheim,2
Öpfingen,5
Oberdischingen,3
Erbach,41
Blaustein,26
Dornstadt,12
Amstetten,7
Lonsee,13
Westerstetten,8
Beimerstetten,4
Weidenstetten,1
Staig,2
Altheim (Alb),4
Holzkirch,1
Breitingen,0
Illerkirchberg,5
Bernstadt,12
Langenau,41
Neenstetten,0
Börslingen,2
Ballendorf,1
Nerenstetten,0
Setzingen,1
Öllingen,0
Rammingen,2
Asselfingen,1
Balzheim,7
Grundsheim,1
Oberstadion,2
Emerkingen,15
Obermarchtal,0
Unterwachingen,0
Unterstadion,2
Dietenheim,12
Hausen am Bussen,1
Ehingen,69
Munderkingen,50
Rottenacker,4
Untermarchtal,0
Lauterach,1
Illerrieden,3
Schnürpflingen,1
Griesingen,1
Hüttisheim,1
Emeringen,0
Rechtenstein,0
Ulm,261
