,10_23_2021
Westerheim,0
Schelklingen,1
Laichingen,2
Heroldstatt,0
Allmendingen,1
Blaubeuren,2
Merklingen,0
Berghülen,0
Nellingen,1
Altheim,0
Öpfingen,1
Oberdischingen,3
Erbach,2
Blaustein,5
Dornstadt,1
Amstetten,0
Lonsee,0
Westerstetten,0
Beimerstetten,0
Weidenstetten,0
Staig,0
Altheim (Alb),2
Holzkirch,0
Breitingen,0
Illerkirchberg,2
Bernstadt,2
Langenau,5
Neenstetten,0
Börslingen,0
Ballendorf,0
Nerenstetten,0
Setzingen,0
Öllingen,0
Rammingen,0
Asselfingen,0
Balzheim,0
Grundsheim,1
Oberstadion,0
Emerkingen,0
Obermarchtal,0
Unterwachingen,0
Unterstadion,0
Dietenheim,1
Hausen am Bussen,1
Ehingen (Donau),13
Munderkingen,2
Rottenacker,2
Untermarchtal,0
Lauterach,1
Illerrieden,0
Schnürpflingen,0
Griesingen,0
Hüttisheim,1
Emeringen,0
Rechtenstein,0
Ulm,39
