,01_06_2022
Westerheim,2
Schelklingen,2
Laichingen,6
Heroldstatt,1
Allmendingen,2
Blaubeuren,1
Merklingen,1
Berghülen,0
Nellingen,1
Altheim,0
Öpfingen,2
Oberdischingen,8
Erbach,11
Blaustein,6
Dornstadt,3
Amstetten,0
Lonsee,1
Westerstetten,0
Beimerstetten,1
Weidenstetten,1
Staig,1
Altheim (Alb),0
Holzkirch,0
Breitingen,0
Illerkirchberg,4
Bernstadt,1
Langenau,9
Neenstetten,7
Börslingen,0
Ballendorf,0
Nerenstetten,0
Setzingen,2
Öllingen,0
Rammingen,0
Asselfingen,0
Balzheim,1
Grundsheim,2
Oberstadion,0
Emerkingen,0
Obermarchtal,0
Unterwachingen,0
Unterstadion,0
Dietenheim,0
Hausen am Bussen,0
Ehingen,13
Munderkingen,4
Rottenacker,1
Untermarchtal,0
Lauterach,0
Illerrieden,4
Schnürpflingen,2
Griesingen,0
Hüttisheim,1
Emeringen,0
Rechtenstein,0
Ulm,86
