,01_25_2022
Westerheim,2
Schelklingen,14
Laichingen,42
Heroldstatt,2
Allmendingen,5
Blaubeuren,15
Merklingen,4
Berghülen,2
Nellingen,6
Altheim,1
Öpfingen,1
Oberdischingen,7
Erbach,25
Blaustein,30
Dornstadt,18
Amstetten,8
Lonsee,12
Westerstetten,4
Beimerstetten,5
Weidenstetten,4
Staig,17
Altheim (Alb),3
Holzkirch,0
Breitingen,2
Illerkirchberg,14
Bernstadt,6
Langenau,51
Neenstetten,1
Börslingen,0
Ballendorf,0
Nerenstetten,0
Setzingen,0
Öllingen,0
Rammingen,1
Asselfingen,2
Balzheim,6
Grundsheim,0
Oberstadion,0
Emerkingen,4
Obermarchtal,0
Unterwachingen,1
Unterstadion,1
Dietenheim,19
Hausen am Bussen,0
Ehingen,32
Munderkingen,4
Rottenacker,5
Untermarchtal,1
Lauterach,0
Illerrieden,23
Schnürpflingen,4
Griesingen,2
Hüttisheim,0
Emeringen,0
Rechtenstein,0
Ulm,351
