,12_06_2021
Westerheim,3
Schelklingen,2
Laichingen,3
Heroldstatt,0
Allmendingen,0
Blaubeuren,2
Merklingen,0
Berghülen,0
Nellingen,1
Altheim,0
Öpfingen,1
Oberdischingen,0
Erbach,3
Blaustein,5
Dornstadt,0
Amstetten,0
Lonsee,0
Westerstetten,0
Beimerstetten,0
Weidenstetten,2
Staig,0
Altheim (Alb),1
Holzkirch,0
Breitingen,0
Illerkirchberg,0
Bernstadt,0
Langenau,1
Neenstetten,0
Börslingen,0
Ballendorf,0
Nerenstetten,0
Setzingen,0
Öllingen,0
Rammingen,1
Asselfingen,0
Balzheim,0
Grundsheim,0
Oberstadion,0
Emerkingen,0
Obermarchtal,0
Unterwachingen,0
Unterstadion,0
Dietenheim,3
Hausen am Bussen,0
Ehingen,6
Munderkingen,1
Rottenacker,0
Untermarchtal,0
Lauterach,0
Illerrieden,2
Schnürpflingen,2
Griesingen,0
Hüttisheim,0
Emeringen,0
Rechtenstein,0
Ulm,38
