,05_05_2021
Westerheim,0
Schelklingen,1
Laichingen,18
Heroldstatt,0
Allmendingen,1
Blaubeuren,4
Merklingen,0
Berghülen,0
Nellingen,1
Altheim,1
Öpfingen,0
Oberdischingen,1
Erbach,5
Blaustein,8
Dornstadt,0
Amstetten,2
Lonsee,1
Westerstetten,0
Beimerstetten,0
Weidenstetten,1
Staig,1
Altheim (Alb),2
Holzkirch,0
Breitingen,0
Illerkirchberg,3
Bernstadt,0
Langenau,1
Neenstetten,0
Börslingen,0
Ballendorf,0
Nerenstetten,0
Setzingen,0
Öllingen,0
Rammingen,1
Asselfingen,0
Balzheim,4
Grundsheim,0
Oberstadion,1
Emerkingen,0
Obermarchtal,0
Unterwachingen,0
Unterstadion,1
Dietenheim,1
Hausen am Bussen,0
Ehingen (Donau),7
Munderkingen,1
Rottenacker,3
Untermarchtal,1
Lauterach,0
Illerrieden,0
Schnürpflingen,0
Griesingen,0
Hüttisheim,1
Emeringen,0
Rechtenstein,0
Ulm,51
