,09_01_2021
Westerheim,0
Schelklingen,0
Laichingen,2
Heroldstatt,0
Allmendingen,1
Blaubeuren,8
Merklingen,1
Berghülen,1
Nellingen,0
Altheim,0
Öpfingen,0
Oberdischingen,0
Erbach,9
Blaustein,5
Dornstadt,1
Amstetten,0
Lonsee,1
Westerstetten,0
Beimerstetten,0
Weidenstetten,0
Staig,2
Altheim (Alb),2
Holzkirch,0
Breitingen,0
Illerkirchberg,0
Bernstadt,0
Langenau,5
Neenstetten,0
Börslingen,0
Ballendorf,0
Nerenstetten,0
Setzingen,0
Öllingen,0
Rammingen,1
Asselfingen,0
Balzheim,0
Grundsheim,0
Oberstadion,0
Emerkingen,0
Obermarchtal,0
Unterwachingen,0
Unterstadion,0
Dietenheim,1
Hausen am Bussen,1
Ehingen (Donau),16
Munderkingen,0
Rottenacker,0
Untermarchtal,0
Lauterach,0
Illerrieden,1
Schnürpflingen,0
Griesingen,0
Hüttisheim,0
Emeringen,0
Rechtenstein,0
Ulm,26
